601,509608,엄마 내겐 이 삶이 왜 이리 벅차죠 변해간 나의 벌인거죠 매일 밤 난 물끄러미 거울에 비춰진 날 바라보며 왠지 모를 난 안도의 한숨을 깊게 내쉬지만 메마른 표정은 그건 그저 버티고 있는 내 초라함이죠 내 빛바랜 마음이 내 바램 대로 더럽혀진,sadness,neutrality
602,509608,한줌의 재로 엄마 내가 이제 이 세상에 무릎을 끓어버린 것만 같아서 웃음이 나와 허무하게 깨어진 빛바랜 나와의 약속 결국 나는 못 지킨 채 내 혀를 깨물어 이곳에 줄을 섰어 이제 내가 제발이라는 말을 배워도 되나요 내 빛바랜 마음이 내 바램,sadness,neutrality
603,509608,대로 더럽혀진 한줌의 재로 내가 가엾게 엄마 나 울더라도 나를 감싸주지는 마 나 저 높이 나의 별을 놓아 내 약속을 돌릴 수 있을까 내가 받은 위로와 그 충고들은 모두 거짓말 어쩌면 다 모두 다 같은 꿈 모두가 가식 뿐 더,sadness,neutrality
604,509608,이상 이 길엔 희망은 없는가 혹시 내 어머니처럼 나의 옆에서 내가 고개를 돌려주기만 기다리는 건 아닐까 모두 같아 같아 같아 내가 엄마의 손등에 키스하길 바라는 건 이젠 욕심일까 굿바이,fear,neutrality
605,515805,나는 위험한 사랑을 상상한다 위험한 사랑의 상상은 날 위안한다 당신같은 위험한 사람 식품처럼 소모될 열정 불안하고 달콤한 나른하고 숨이 멎을듯한 죄의식과 행복의 기묘한 일체 나는 위험한 사랑을 상상한다 위험한 사랑의 상상은 날 위안한다 결국은 허무하게 모래처럼 날려 사라질 소진할 열정의,joy,neutrality
606,515805,달콤한 폭주 음- 차갑고 농밀한 나의 열정이 내 눈먼 영혼을 잠식하면 뜨겁고 농염한 죄의 입맞춤 타락의 나락 그 황홀 나는 위험한 사랑을 상상한다 위험한 사랑의 상상은 날 위안한다 당신같은 위험한 사람 식품처럼 소모될 열정 불안하고 달콤한 나른하고 숨이 멎을듯한 죄의식과,joy,neutrality
607,515805,행복의 기묘한 일체 차갑고 농밀한 나의 열정이 내 눈먼 영혼을 잠식하면 뜨겁고 농염한 죄의 입맞춤 타락의 나락 그 황홀-,joy,neutrality
608,521702,넌 어떻게 사는지 조금 변하기는 했는지 그 누구도 멈출 수가 없는 흘러가는 시간이 너의 얼굴을 또 스쳤는지 이젠 넌 괜찮아졌는지 더는 내 생각은 않는지 이젠 아무 소용 없다는 걸 너무 잘 알면서 또 자꾸 원하고 또 원하게 돼 나처럼 아직,neutrality,neutrality
609,521702,사랑하는 나처럼 변할 수가 없는 나처럼 baby 너의 맘 속에도 날 조금은 남겨뒀기를 네가 그렇기를 널 보내던 그날도 Oh 난 아무 말도 못했어 뒤돌아 흘린 눈물조차 보여주지 않았어 널 위하는 길이었기에 하지만 또 난 나처럼 아직 사랑하는 나처럼 변할 수가,sadness,neutrality
610,521702,없는 나처럼 너의 맘 속에도 날 조금은 남겨뒀기를 네가 그렇기를 시간이란 흘러가고 모든 걸 다 지워버리고 너조차도 잊게할 거라고 들었지만 흐르는 두 마음은 그런 시간조차 이겨내고 만날 걸 난 믿어 언젠가 네가 돌아오는 언젠가 다시 사랑하는 언젠가 네게 말할 거야,trust,neutrality
